PERMNO,QNO,MOM_RANK,FRET1
10016,70.0,2,0.0727270595122728
10016,71.0,2,-0.1101699142715412
10016,72.0,3,0.0571426050631171
10016,73.0,2,0.0540534728243682
10016,74.0,3,-0.2393162849298635
10016,75.0,3,0.4859549281676665
10016,76.0,7,0.0510398415502828
10016,77.0,8,0.107913804198874
10016,78.0,8,0.0259734526945256
10016,79.0,8,-0.0443038835339272
10016,80.0,5,-7.175298409878295e-07
10016,81.0,4,-0.0894035478221876
10016,82.0,4,0.0309093259404802
10016,83.0,3,0.2627868238190842
10017,29.0,1,0.0781256035448594
10017,30.0,5,0.2028980905797499
10017,31.0,7,-0.1807226085585588
10017,32.0,6,0.0441176971779211
10017,33.0,7,-2.183099999664151e-07
10017,34.0,6,
10019,29.0,1,-0.241379683908
10019,30.0,1,0.060606345295
10019,31.0,1,-0.161071324428664
10019,32.0,2,0.217391155722066
10019,33.0,3,0.0096781690050755
10019,34.0,7,0.042857427212203
10019,35.0,7,0.205478780822
10019,36.0,8,0.0454540088809518
10019,37.0,7,0.1956528260062162
10019,38.0,8,-0.0181807163411447
10019,39.0,7,0.0185189087883212
10019,40.0,5,-0.0181818108182799
10019,41.0,6,-0.2870370712655704
10019,42.0,1,-0.4025968746676827
10019,43.0,0,0.1304358234785001
10019,44.0,0,0.1346148420330002
10019,45.0,0,0.0169486461181249
10019,46.0,1,-0.0500001397849999
10019,47.0,3,-0.1403503084528925
10019,48.0,1,0.3877549217582228
10019,49.0,4,-0.3823536177254633
10019,50.0,0,-0.0476190238095249
10019,51.0,0,0.6749999775860003
10019,52.0,6,-0.2537323882337994
10019,53.0,1,0.3600009885715998
10019,54.0,7,-0.1029408424838065
10019,55.0,6,0.0163931539640349
10019,56.0,2,0.0967738223533216
10019,57.0,7,-0.0882345152797816
10019,58.0,2,3.356416884425784e-07
10019,59.0,4,0.2258059999999999
10019,60.0,7,0.3947367352227613
10019,61.0,8,-0.1132075874230347
10019,62.0,7,-0.1276604044435149
10019,63.0,6,-0.0975605651476612
10019,64.0,1,0.4729725241635509
10019,65.0,2,-0.1009175997488684
10019,66.0,2,0.2653061093185691
10019,67.0,8,0.0161299211126
10019,68.0,8,-0.0476187894692761
10019,69.0,4,0.2500000789449219
10019,70.0,7,0.7634347597724005
10019,71.0,9,-0.2942598475345621
10019,72.0,6,0.435483938262116
10019,73.0,9,-0.1910113519903571
10019,80.0,8,-0.3913042599743016
10019,81.0,5,-0.1836729340284504
10019,82.0,5,7.618422501742828e-07
10020,29.0,5,-0.0878379439240001
10020,30.0,5,0.141789973231792
10020,31.0,4,0.1651318412280498
10020,32.0,8,0.0124999999999999
10020,33.0,8,-0.080745049441
10020,34.0,8,-0.1085714859262239
10020,35.0,5,0.0072619199999999
10020,36.0,0,-0.067457487588
10020,37.0,0,-0.0546791883864831
10020,38.0,0,0.1866664767999999
10020,39.0,2,-0.0899996878463398
10020,40.0,2,0.0666668259962777
10020,41.0,5,-0.121052616792
10020,42.0,4,-0.1393940583018307
10020,43.0,4,0.0866665633855869
10020,44.0,5,0.1475566264122649
10020,45.0,3,0.1301961493679999
10020,46.0,7,0.081403994155615
10020,47.0,6,-0.0380317888045118
10020,48.0,4,0.3393109879700047
10020,49.0,7,0.0477922735269999
10020,50.0,7,0.014749971892775
10020,51.0,7,0.138881490940725
10020,52.0,7,0.1173630390942968
10020,53.0,6,
10021,59.0,9,0.4687492578125938
10021,60.0,9,-0.3191491182238934
10021,61.0,9,-0.0625003786765001
10021,62.0,9,-0.09999945208325
10025,29.0,0,0.1333324672318001
10025,30.0,0,0.2352950138879004
10025,31.0,5,-0.2142857788740999
10025,32.0,6,0.1212126878144075
10025,33.0,8,0.1351358713450778
10025,34.0,8,-0.0357140600991249
10025,35.0,5,0.259258155568715
10025,36.0,8,0.0686268001282803
10025,37.0,8,0.1743129709639086
10025,38.0,8,0.265625
10025,39.0,9,0.1018512319840001
10025,40.0,8,-0.0168062611193168
10025,41.0,8,-0.0256406102564
10025,42.0,7,-0.4999999216311191
10025,43.0,1,0.1052630568035002
10025,44.0,0,0.5873011969654414
10025,45.0,2,0.1599992657144
10025,46.0,4,-0.1724141737931199
10025,47.0,7,0.1666668896333785
10025,48.0,7,-0.1428568656411204
10025,49.0,2,-0.1041659663647013
10025,50.0,0,0.1395353579363507
10025,51.0,3,0.0204083066687386
10025,52.0,1,-0.08000054755548
10025,53.0,2,0.480434584325746
10025,54.0,7,-0.0279413509883599
10025,55.0,5,0.1075749879925249
10025,56.0,7,0.4810962952645976
10025,57.0,9,-0.0266668223999999
10025,58.0,8,-0.041714670502
10025,59.0,8,0.0982074180730305
10025,60.0,9,0.1578239729921808
10025,61.0,6,0.0011761708921058
10025,62.0,5,0.0364702415583748
10025,63.0,6,-1.2333840948564045e-07
10025,64.0,3,0.1022725593307603
10025,65.0,3,0.76288669443296
10025,66.0,8,0.046783289056
10025,67.0,9,0.2290502396248999
10025,68.0,9,-0.1545456895982827
10025,69.0,9,-0.1397853310718385
10025,70.0,2,-0.0750003270833126
10025,71.0,1,-0.1655408477321022
10025,72.0,0,0.1093114622734012
10025,73.0,0,-0.3686130530728931
10025,74.0,0,-0.0289013124173506
10025,75.0,1,0.0357146459302089
10025,76.0,2,0.149424410957
10025,77.0,3,0.2100006899006252
10025,78.0,8,0.2231404565745136
10025,79.0,8,-0.304054229096328
10025,80.0,6,0.2281550727142847
10025,81.0,5,-0.2015808775731891
10025,82.0,3,0.3440598102821341
10025,83.0,3,0.3167583709539876
10026,29.0,5,-0.0223882272419899
10026,30.0,2,0.3282453704550121
10026,31.0,9,-0.3333329391098923
10026,32.0,9,0.2241383789798616
10026,33.0,7,0.1126763718699999
10026,34.0,8,0.1265820135545587
10026,35.0,6,0.0224722104440413
10026,36.0,8,0.0219779117174525
10026,37.0,7,0.2795702932174999
10026,38.0,8,-0.075630269752431
10026,39.0,5,-0.0999997895764001
10026,40.0,3,-0.3030306593795145
10026,41.0,1,-0.0434784982953533
10026,42.0,0,-0.2575751459805712
10026,43.0,0,0.2857149805472001
10026,44.0,1,0.4761901991567501
10026,45.0,7,0.2258064559610204
10026,46.0,9,-0.0263153999999999
10026,47.0,8,0.0270271399999999
10026,48.0,7,-0.2105256074643727
10026,49.0,2,-0.155556
10026,50.0,0,-0.0394735111926499
10026,51.0,0,-0.0136986250710664
10026,52.0,0,0.2916672608193473
10026,53.0,3,0.4301074298389336
10026,54.0,8,0.0827069303418777
10026,55.0,8,0.1458337395402245
10026,56.0,9,-0.193939771496434
10026,57.0,8,-0.2406016499590401
10026,58.0,1,0.0099007423820001
10026,59.0,1,-0.0882349892958788
10026,60.0,0,-0.1075276818824009
10026,61.0,0,0.2168674433877442
10026,62.0,2,-0.0693068541120107
10026,63.0,1,-0.063829150960878
10026,64.0,1,0.0795450009469997
10026,65.0,3,-0.0315790369067696
10026,66.0,1,-0.0652173387986888
10026,67.0,2,0.255814460888
10026,68.0,5,-0.0555560473439746
10026,69.0,4,0.2058818777090001
10026,70.0,6,0.0569102369463039
10026,71.0,6,0.0076918586585112
10026,72.0,4,0.1946562295816278
10026,73.0,5,0.067092799491252
10026,74.0,6,-0.1137720906412356
10026,75.0,7,0.2094592098109369
10026,76.0,8,-0.1005583205743703
10026,77.0,7,0.1925467305811936
10026,78.0,7,-0.1770835
10026,79.0,4,0.0379748800546539
10026,80.0,3,-0.0304880081248548
10026,81.0,4,-0.1006287739602573
10026,82.0,2,-0.2762236629893102
10026,83.0,1,0.2995168614459214
10027,29.0,0,-0.099999248217536
10027,30.0,0,0.0123451340797253
10027,38.0,9,-0.0454545447204999
10027,39.0,8,-0.0666665413919999
10027,40.0,9,
10028,80.0,7,-0.1250002187499999
10028,81.0,6,0.428570824420146
10028,82.0,8,0.0812500404133997
10028,83.0,8,0.0481699481419999
10029,29.0,0,-0.1379307241379201
10029,30.0,0,0.32
10029,31.0,3,-0.3636361976791759
10029,34.0,2,7.105250010575048e-08
10029,35.0,0,0.0500002926964999
10029,41.0,5,0.1162799111060401
10029,42.0,7,
10032,29.0,0,-0.1199997533333601
10032,30.0,0,0.31818195
10032,37.0,8,0.2777791808245045
10032,38.0,9,0.072463847826
10032,39.0,9,-0.2702706970879044
10032,40.0,7,-0.055555095008
10032,41.0,3,0.176471026428
10032,42.0,2,-0.2499997754103093
10032,45.0,4,0.115384972028
10032,46.0,3,0.4827586019404293
10032,47.0,7,0.7674416525477366
10032,48.0,9,0.3914470458045782
10032,49.0,9,0.1063830343124232
10032,50.0,9,0.0769240086897795
10032,51.0,9,-0.2857145357142999
10032,52.0,4,0.1500007835467252
10032,53.0,2,-0.3043478430466479
10032,54.0,0,0.2708336283481269
10032,55.0,0,4.216735174367159e-07
10032,56.0,3,0.049180630598786
10032,57.0,2,-0.2656243959262188
10032,58.0,3,-0.0957447137509999
10032,59.0,0,-0.1999999928415531
10032,60.0,0,0.47058776470592
10032,61.0,1,0.0799999999999998
10032,62.0,4,0.2314815985217928
10032,63.0,7,-6.984248580588215e-07
10032,64.0,8,-0.2180451665012296
10032,65.0,2,0.17307740544875
10032,66.0,3,-0.0409836421238263
10032,67.0,2,0.1453000413246026
10032,68.0,2,0.761194111471666
10032,69.0,9,0.8919501131959082
10032,70.0,9,0.258679000555079
10032,71.0,9,-0.5765128301254457
10032,72.0,8,0.3361337659586119
10032,73.0,4,4.908335993203394e-07
10032,74.0,0,-0.0251566708666328
10032,75.0,1,0.7483874382841056
10032,76.0,9,-0.1771215842028696
10032,77.0,8,0.0807166360742905
10032,78.0,8,0.0165975176546526
10032,79.0,7,0.436734027670103
10032,80.0,6,0.5142044858127475
10032,81.0,8,0.6960603071785867
10032,82.0,9,0.2477878215494267
10032,83.0,9,-0.5689269860534723
10034,29.0,2,-0.0853657073171202
10034,30.0,3,0.1199997203662632
10034,31.0,5,-0.2976189201940661
10034,32.0,3,0.3050845470747632
10034,33.0,5,0.2140265205906348
10034,34.0,8,-0.0163433389413056
10034,35.0,7,0.1261539193681251
10034,36.0,8,-0.0443144081519999
10034,37.0,7,-0.0313399683708105
10034,38.0,3,0.0318282614095029
10034,39.0,3,-0.053052780042341
10034,40.0,1,-0.0229215026553407
10034,41.0,2,0.0348832226672228
10034,42.0,4,-0.104720054088123
10034,43.0,5,0.0105798991532961
10034,44.0,5,0.0496105212051476
10034,45.0,4,0.2115728158630005
10034,46.0,6,
10035,29.0,0,-0.1489364244408104
10035,30.0,0,8.936048498942029e-07
10035,35.0,9,0.3064522436409502
10035,36.0,9,-0.1358023369855044
10035,37.0,9,0.1000000137000256
10035,38.0,9,-0.0129873814496443
10035,39.0,5,0.2763159001653095
10035,40.0,5,0.1340194833305583
10035,41.0,8,0.7636367313028665
10035,42.0,9,-0.3298966784353546
10035,43.0,9,0.0923067848983798
10035,44.0,9,0.9718311130784
10035,45.0,9,0.2714289763442163
10035,46.0,9,0.303369196240502
10035,47.0,9,-0.5129309133945361
10035,48.0,6,0.2212390730405375
10035,49.0,2,-0.3695652766164999
10035,50.0,0,-0.1839086408044999
10035,51.0,0,0.2112680067358612
10035,52.0,1,0.0930227754920001
10035,53.0,0,-0.1914902584981065
10035,54.0,1,0.1842109999999999
10035,55.0,4,0.1555559260444161
10035,56.0,5,0.2692296760024222
10035,57.0,7,-0.2121209441187327
10035,58.0,8,-0.0480771416567631
10035,59.0,5,-0.040404361701699
10035,60.0,3,-0.010526208205119
10035,61.0,0,-0.0638294772216533
10035,62.0,1,0.0340902004612264
10035,63.0,1,-0.20879102264
10035,64.0,0,-0.02777796941349
10035,65.0,0,-7.47462317929326e-07
10035,66.0,0,-0.0857143956709999
10035,67.0,0,-0.1875001015624999
10035,68.0,0,0.0576929154295311
10035,69.0,1,-0.1818184374999999
10035,70.0,0,0.3111112
10035,71.0,1,0.0338992518832379
10035,72.0,3,0.3852464494437153
10035,73.0,5,0.2751478840063353
10035,74.0,9,-0.5638049850986306
10035,75.0,3,0.0957452404255998
10035,78.0,0,-0.1500002962782201
10035,79.0,5,0.4607847345400002
10037,29.0,0,-0.0888888206719999
10037,30.0,0,0.0365855762194999
10037,31.0,0,-0.3882354375
10037,32.0,0,0.134614766084
10037,33.0,1,0.0169495969246562
10037,34.0,1,-0.0333334616123833
10037,35.0,1,-0.034482878161
10037,36.0,3,0.142856541872
10037,37.0,4,-0.0937498749999999
10037,38.0,2,0.1379316556035312
10037,39.0,3,-0.1818189193053714
10037,40.0,2,0.0185186302909998
10037,41.0,2,-0.23636356
10037,45.0,1,0.4000009118182999
10037,46.0,8,0.1071426844552811
10037,47.0,8,-0.1290320976085128
10037,48.0,8,0.3870366970704681
10037,49.0,8,-0.0857142987012998
10037,50.0,5,-0.0625
10037,51.0,3,0.0666662559139998
10037,52.0,5,0.2468757999239064
10037,53.0,4,-0.097361228606041
10037,54.0,3,0.0630160673423434
10037,55.0,4,-0.0489410587533725
