PERMNO,QNO,PRRET,QRET,TURND,ILLIQ,ex,SIZE,PRC,mea_DTD,VOLATILITY,ILLIQ_RANK,SIZE_RANK,MOM_RANK,ILLIQ_CAT,SIZE_CAT,MOM_CAT,OVERALL_COMBO,OVERALL_DECILE,FRET1
10147,82.0,1.79773184517409,0.2212312413377388,5.153313787947503,-4.8764521756592025e-11,,166948373.875,76.9375,586.048658051821,0.0445165614777851,99,99,90,99,99,90,96.0,9,0.2883842917949426
10147,83.0,1.7775878375450604,0.2883842917949426,3.2390132246001175,-3.226536119066833e-11,,216129870.125,99.125,292.23061685871147,0.0267355801269301,99,99,90,99,99,90,96.0,9,-0.329129216346737
10149,81.0,-0.0020508507269708,0.1652173687999871,3.033258504699156,-8.433123456517702e-08,,94419.75,16.75,46.22232905604479,0.0299031475390457,33,24,40,33,24,40,32.333333333333336,2,-0.3034378780509901
10149,82.0,-0.426539542272904,-0.3034378780509901,1.50660955552885,-3.0960354227800045e-07,,64120.875,11.375,19.37484441792992,0.0287489292148328,21,15,11,21,15,11,15.666666666666666,0,-0.0659338874344765
10149,83.0,-0.4043553300642769,-0.0659338874344765,1.3752558914879296,-8.747281351830694e-07,,59893.125,10.625,16.276396421320584,0.0391223822763577,11,12,9,11,12,9,10.666666666666666,0,-0.0243492175835114
10163,81.0,0.579652876884913,0.6248175095937498,3.172486938561216,-7.046653925335928e-08,,215419.5,10.125,31.669390695651476,0.054407723273991,36,42,67,36,42,67,48.333333333333336,4,-0.0967961730997747
10163,82.0,0.4353810289273803,-0.0967961730997747,1.9052729717083825,-1.3419899446304885e-07,,194216.5,9.125,20.24241423076794,0.0521608006494553,30,38,73,30,38,73,47.0,4,-0.0385212898375931
10163,83.0,0.3622784700745103,-0.0385212898375931,2.0657316605680274,-1.290863935240793e-07,,186497.5,8.75,19.95274767752812,0.0378077784833814,29,34,64,29,34,64,42.333333333333336,4,-0.1038361872195395
10180,81.0,1.285711743132207,0.9487180146520002,13.934261374039853,-4.868063311097121e-08,,180357.5,9.5,135.1706257222203,0.0725453765730981,41,38,79,41,38,79,52.666666666666664,5,-0.1644743968856642
10180,82.0,0.9689888703075968,-0.1644743968856642,6.480333615839486,-5.978378451370203e-08,,150963.3125,7.9375,53.07944052047136,0.0500858560052414,40,32,83,40,32,83,51.666666666666664,5,0.3937015830131132
10180,83.0,1.4929550168516754,0.3937015830131132,6.766497099338668,-3.676598723650157e-08,,212720.8125,11.0625,68.66257631790745,0.0350425602426748,43,37,88,43,37,88,56.0,5,-0.4067797903094911
10182,81.0,0.433244029592926,0.2119820420381266,15.08302132221704,-1.7501223062591891e-09,,1717127.0,32.875,381.284825288247,0.0392951533267313,84,80,63,84,80,63,75.66666666666667,8,0.3250947603790186
10182,82.0,0.1388896943474105,0.3250947603790186,14.24389242551591,-1.3045693417146907e-09,,2311295.5625,43.5625,559.203637848533,0.0398581221667876,86,82,61,86,82,61,76.33333333333333,8,-0.0186516762955234
10182,83.0,0.8362428620997582,-0.0186516762955234,14.714002843951828,-6.800283504845715e-10,,2294606.25,42.75,699.2910313916743,0.0295450597564774,89,81,79,89,81,79,83.0,9,-0.367324661010066
10192,81.0,-0.1111102254735602,-0.0157060036656361,5.259485976466741,-4.6756692094529917e-08,,276407.0,23.5,117.65717385773225,0.0330290311189246,41,48,30,41,48,30,39.666666666666664,3,-0.2500008536856367
10192,82.0,-0.4056904630808307,-0.2500008536856367,5.28893061342891,-5.6744134838090865e-08,,194439.0,17.625,106.44017865169543,0.0364521121194193,40,38,12,40,38,12,30.0,2,-0.1134747990019644
10192,83.0,-0.3489579912901727,-0.1134747990019644,1.7104416690384756,-1.0790722629612567e-07,,174218.75,15.625,30.476441391968223,0.0308111476153141,31,33,12,31,33,12,25.333333333333332,1,1.096000316
10194,81.0,0.1636431001309937,-0.048089999366028,0.5406055683651637,-1.7878342284281522e-06,,50876.875,18.125,9.758791051836536,0.0241648578740645,5,13,51,5,13,51,23.0,1,0.2068961864959999
10194,82.0,0.1059621072307404,0.2068961864959999,1.149508290490358,-1.2823960944186088e-06,,61468.75,21.875,24.22567178177426,0.0371723695083993,9,14,59,9,14,59,27.333333333333332,1,0.2992006065171728
10200,81.0,2.142850975355479,2.07999895199984,36.56473681769185,-2.7244840759502123e-08,,253291.5,9.625,389.33954208673424,0.1167069465531151,49,46,86,49,46,86,60.333333333333336,6,-0.3474020728990511
10200,82.0,1.1847813775642535,-0.3474020728990511,7.912925247557286,-5.4572335686022676e-08,,166522.21875,6.28125,47.249348452949235,0.0779561625453644,41,34,85,41,34,85,53.333333333333336,5,0.1343288205055226
10205,81.0,-0.2552254394371852,-0.0754104862067466,6.874272605223912,-2.128839835737192e-07,,30499.0,7.0,48.534765991187854,0.0159027687695938,23,6,16,23,6,16,15.0,0,0.009824276792
10205,82.0,-0.231694746857012,0.009824276792,3.4454631401817934,-7.36207850313441e-07,,30548.0,7.0,24.49303836831257,0.0176773141182348,13,4,28,13,4,28,15.0,0,0.2628441715702034
10205,83.0,0.1578674848573209,0.2628441715702034,2.7408608310418576,-5.002972961138004e-07,,38185.0,8.75,22.22749791143446,0.0224281701814511,16,6,53,16,6,53,25.0,1,0.2097387985321417
10211,81.0,0.8368358951067849,-0.0302619533329397,0.4726285361527873,-1.9488946622614373e-07,,372358.0,14.0,6.187456991501837,0.0284400445087377,24,54,72,24,54,72,50.0,4,-0.1228414922909145
