PERMNO,mean_size,num_obs
15318,1713323.8568541668,12
15368,44607278.40625,4
15456,1574020.7864583333,12
15457,52128.684895833336,12
15472,7237196.916666667,12
15502,,0
15537,25838.796875,8
15553,1031098.0416666666,12
15560,9579084.255208334,12
15579,102877160.69270833,12
15617,58429.32142857143,7
15659,6657214.15625,12
15667,72263409.25,12
15720,7143471.151041667,12
15721,639907.24,12
15748,31731.588541666668,12
15991,77298.1875,1
16030,167991.66666666666,12
16117,1356677.3125,6
16126,71877.06770833333,12
16193,56025.54598375,8
16249,,0
16396,99811.09375,12
16417,43560.90625,12
16424,36104768.005208336,12
16432,3416714.813541667,12
16468,18446.153395,12
16505,3174826.9010416665,12
16548,1331372.0104166667,12
16555,683887.2291666666,12
16599,152897.296875,12
16600,5407368.234375,12
16644,241553.22916666666,12
16678,17405469.473958332,12
16715,89747.875,1
16890,526183.2952083334,12
16978,1154175.7552083333,12
16986,51567.8515625,12
17005,17195332.177083332,12
17057,,0
17073,,0
17137,153183.60416666666,12
17144,10737846.546875,12
17209,,0
17337,95007.17857142857,7
17444,86030.35416666667,12
17478,10904658.791666666,12
17523,44277.125,2
17559,101958.28977272728,11
17671,49458.239583333336,12
17726,1764536.6022727273,11
17743,683725.6979166666,12
17750,32709219.64708333,12
17770,92675.7890625,8
17778,78525933.33333333,12
17806,3636241.984375,12
17830,29728398.46875,12
17929,599024.6354166666,12
17961,873731.0288233333,12
17962,882781.7864583334,12
18016,1735507.9010416667,12
18033,659221.0,12
18075,107408.51041666667,12
18091,410100.2864583333,12
18092,5287864.005208333,12
18112,296675.8522727273,11
18148,81345.609375,8
18163,91863865.88020833,12
18198,187791.34375,4
18244,29078.26388888889,9
18382,60160435.526041664,12
18403,3805119.4791666665,12
18411,17658082.692708332,12
18438,105555.22916666667,12
18455,567874.4166666666,12
18542,13247102.041666666,12
18570,587532.8854166666,12
18622,1005335.9791666666,12
18649,832632.8541666666,12
18650,29411.4375,1
18681,5600006.703125,12
18729,32369353.178749997,12
18761,1610365.484375,12
18921,4177086.203125,4
18956,3153916.8333333335,12
18964,529090.3854166666,12
18973,631185.2239583334,12
19166,1899479.328125,12
19191,228019.09306363633,11
19271,122115.95833333333,12
19289,148096.515625,12
19350,9066632.833333334,12
19393,116746776.3125,12
19502,33809759.75,12
19546,795913.7291666666,12
19561,45557380.776041664,12
19596,2511412.5729166665,12
19677,,0
19692,695822.6041666666,9
19721,2340891.9375,12
19828,434605.1354166667,12
19845,13801.95625,10
19852,151387.95833333334,12
19880,1726657.4427083333,12
19888,3507826.098214286,7
19895,3040245.859375,12
19916,24087078.897727273,11
19933,73186.5,6
19968,73046.50520833333,12
19975,54288.28125,2
19992,151783.53125,12
20053,5654494.901041667,12
20088,1628680.2395833333,6
20117,2678731.8776041665,12
20124,21220364.848958332,12
20125,834018.953125,12
20204,1487804.71875,12
20220,3201619.28125,12
20248,186840.4375,12
20299,40641.0,12
20336,28851.180555555555,9
20395,401294.015625,12
20415,1415714.4947916667,12
20459,126410.62943454547,11
20482,66222263.552083336,12
20504,52273.25,1
20512,255724.08152749998,12
20539,571605.9635416666,12
20547,108705.1875,1
20571,74791.18229166667,12
20598,64938.0,1
20618,586323.4375,12
20626,22118377.255208332,12
20670,382030.9010416667,12
20678,419957.83125,10
20693,,0
20694,4224181.770833333,12
20723,1125124.8515625,12
20750,366302.5104166667,12
20765,354914.9010416667,12
20853,7933458.368055556,9
20917,66290.85677083333,12
21004,63938291.708333336,6
21020,5373183.755208333,12
21055,339651.5208333333,12
21135,722743.2604166666,12
21143,519806.90625,6
21152,964221.234375,12
21178,11250353.331666669,12
21186,2855468.421875,12
21207,3254314.9270833335,12
21231,1211598.9322916667,12
21259,214951.40625,12
21282,1831939.2447916667,12
21290,1639610.84375,4
21291,131886.18229166666,12
21338,820974.6805555555,9
21370,1834207.6302083333,12
21371,20092096.609375,12
21397,5830383.95,5
21573,15612447.359375,12
21726,145681.25,12
21742,580270.3854166666,12
21776,10271841.127083333,12
21792,9371269.322916666,12
21821,,0
21928,1488934.8020833333,12
21936,225819923.84375,12
21960,405012.375,12
21979,3358475.1458333335,12
22023,,0
22032,2283760.6302083335,12
22066,871771.671875,12
22103,26681685.40625,12
22111,124952129.765625,12
22163,61466.296875,4
22198,96777.1796875,12
22293,62842749.3125,12
22323,,0
22374,70055.03645833333,12
22382,6539.5,2
22430,146933.25715454546,11
22437,593986.9583333334,12
22496,4822188.698863637,11
22509,8060826.041666667,12
22517,4380968.3125,12
22541,3652727.4114583335,12
22569,85833.80764583334,12
22592,36898957.338541664,12
22613,3596310.6256142855,7
22673,29668.278125,10
22680,529395.203125,12
22752,176184772.125,12
22753,591290.0286458334,12
22779,74246723.42708333,12
22825,33381.720584999995,12
22840,16715289.505208334,12
22859,3498546.7135416665,12
22905,116946.73863636363,11
22913,35370.96875,6
22921,253339.23958333334,12
22947,4406083.510416667,12
23026,5745397.510416667,12
23034,,0
23035,104766.92857142857,7
23042,420683.0833333333,12
23077,13758280.052083334,12
23085,2774095.53125,12
23114,6071740.307291667,12
23115,199187.03125,6
23182,92505.52604166667,12
23229,2802431.90625,12
23297,2071324.8072916667,12
23309,3398233.9166666665,12
23317,54473197.46875,12
23318,8378067.489583333,12
23326,747881.2864583334,12
23393,727157.0885416666,12
23473,5811003.020116667,12
23499,3159064.6875,2
23501,2771523.6218749997,12
23536,2439589.7604166665,12
23537,50991.796875,12
23544,2395467.328125,12
23552,89120.6640625,8
23553,26867.9140625,12
23579,8070647.026041667,12
23660,6941669.716145833,12
23712,8052818.442708333,12
23720,3058956.25,1
23799,150741.921875,12
23819,18971957.447916668,12
23827,3013516.647727273,11
23835,1508521.34375,12
23851,4111464.125152,5
23887,4021015.03125,12
23915,5512036.447916667,12
23916,1681652.90625,12
23931,5636042.567708333,12
23975,462117.5208333333,12
23990,7484876.96875,12
24002,1475845.265625,12
24010,6954135.489583333,12
24029,,0
24046,28716825.364583332,12
24053,1268243.0260416667,12
24096,2498786.0625,12
